Time - Dev2/ai0,Temperature - Dev2/ai0
11:08:09 AM,85.9
11:08:09 AM,85.5
11:08:09 AM,85.8
11:08:09 AM,85.1
11:08:09 AM,85.6
11:08:09 AM,85.8
11:08:09 AM,85.5
11:08:10 AM,84.7
11:08:10 AM,85.2
11:08:10 AM,85.9
11:08:10 AM,85.5
11:08:10 AM,85.4
11:08:10 AM,85.3
11:08:10 AM,84.8
11:08:10 AM,85
11:08:10 AM,86
11:08:10 AM,86.1
11:08:11 AM,85.6
11:08:11 AM,85.3
11:08:11 AM,85.1
11:08:11 AM,85.4
11:08:11 AM,85.4
11:08:11 AM,86.2
11:08:11 AM,85.3
11:08:11 AM,85.5
11:08:11 AM,84.9
11:08:11 AM,85.8
11:08:12 AM,85.4
11:08:12 AM,85.2
11:08:12 AM,85.8
11:08:12 AM,86
11:08:12 AM,85.3
11:08:12 AM,85.8
11:08:12 AM,85.9
11:08:12 AM,84.9
11:08:12 AM,86
11:08:12 AM,86.1
11:08:13 AM,86.5
11:08:13 AM,85.8
11:08:13 AM,85.8
11:08:13 AM,85.8
11:08:13 AM,85.5
11:08:13 AM,85.5
11:08:13 AM,85.4
11:08:13 AM,85.5
11:08:13 AM,85.5
11:08:13 AM,85.9
11:08:14 AM,86
11:08:14 AM,85
11:08:14 AM,85
11:08:14 AM,85.6
11:08:14 AM,85.7
11:08:14 AM,85.4
11:08:14 AM,85.3
11:08:14 AM,86.1
11:08:14 AM,85.6
11:08:14 AM,86
11:08:15 AM,85.1
11:08:15 AM,85.4
11:08:15 AM,85.6
11:08:15 AM,86.1
11:08:15 AM,85.2
11:08:15 AM,85.5
11:08:15 AM,85.8
11:08:15 AM,85.1
11:08:15 AM,85.9
11:08:15 AM,85.4
11:08:16 AM,85.9
11:08:16 AM,85.7
11:08:16 AM,86.1
11:08:16 AM,84.1
11:08:16 AM,86.1
11:08:16 AM,85.4
11:08:16 AM,85.4
11:08:16 AM,85.8
11:08:16 AM,85.6
11:08:16 AM,86.1
11:08:17 AM,86.4
11:08:17 AM,86.5
11:08:17 AM,86.3
11:08:17 AM,86
11:08:17 AM,86
11:08:17 AM,85.7
11:08:17 AM,86.1
11:08:17 AM,86.3
11:08:17 AM,85.8
11:08:17 AM,85.1
11:08:18 AM,86.1
11:08:18 AM,85.5
11:08:18 AM,86.4
11:08:18 AM,85.3
11:08:18 AM,85.3
11:08:18 AM,86.4
11:08:18 AM,85.4
11:08:18 AM,85.9
11:08:18 AM,85.3
11:08:18 AM,84.5
11:08:19 AM,85.2
11:08:19 AM,86.3
11:08:19 AM,84.8
11:08:19 AM,85.8
11:08:19 AM,85.8
11:08:19 AM,86.3
11:08:19 AM,86.1
11:08:19 AM,85.4
11:08:19 AM,85.2
11:08:19 AM,85.6
11:08:20 AM,86.4
11:08:20 AM,85.6
11:08:20 AM,85.4
11:08:20 AM,84.8
11:08:20 AM,84.8
11:08:20 AM,85.7
11:08:20 AM,85.6
11:08:20 AM,86.1
11:08:20 AM,86.1
11:08:20 AM,86.1
11:08:21 AM,86.1
11:08:21 AM,86
11:08:21 AM,85.7
11:08:21 AM,87.5
11:08:21 AM,86.4
11:08:21 AM,85.9
11:08:21 AM,85.2
11:08:21 AM,85.4
11:08:21 AM,86.2
11:08:21 AM,86.1
11:08:22 AM,85.1
11:08:22 AM,85.4
11:08:22 AM,85.4
11:08:22 AM,85.8
11:08:22 AM,85
11:08:22 AM,85.5
11:08:22 AM,84.6
11:08:22 AM,86.1
11:08:22 AM,85.1
11:08:22 AM,85.6
11:08:23 AM,85
11:08:23 AM,85.9
11:08:23 AM,84.7
11:08:23 AM,85.2
11:08:23 AM,85.4
11:08:23 AM,85.5
11:08:23 AM,86.1
11:08:23 AM,85.4
11:08:23 AM,85.9
11:08:23 AM,85.4
11:08:24 AM,85.6
11:08:24 AM,86.1
11:08:24 AM,85.1
11:08:24 AM,85.9
11:08:24 AM,85.9
11:08:24 AM,85.8
11:08:24 AM,85.1
11:08:24 AM,84.6
11:08:24 AM,85.5
11:08:24 AM,85.4
11:08:25 AM,86.7
11:08:25 AM,87
11:08:25 AM,85.4
11:08:25 AM,85.1
11:08:25 AM,84.7
11:08:25 AM,85.8
11:08:25 AM,85.4
11:08:25 AM,86.6
11:08:25 AM,85.5
11:08:25 AM,85.8
11:08:26 AM,85.6
11:08:26 AM,85.2
11:08:26 AM,85.8
11:08:26 AM,85.3
11:08:26 AM,86.1
11:08:26 AM,86.1
11:08:26 AM,84.8
11:08:26 AM,85.4
11:08:26 AM,86.1
11:08:26 AM,85.1
11:08:27 AM,84.5
11:08:27 AM,86.5
11:08:27 AM,84.8
11:08:27 AM,87.6
11:08:27 AM,85.9
11:08:27 AM,85.4
11:08:27 AM,85.8
11:08:27 AM,84.9
11:08:27 AM,85.6
11:08:27 AM,85.8
11:08:28 AM,84.9
11:08:28 AM,85.4
11:08:28 AM,85.8
11:08:28 AM,85
11:08:28 AM,85.6
11:08:28 AM,85.4
11:08:28 AM,84.7
11:08:28 AM,85.4
11:08:28 AM,86
11:08:28 AM,85.4
11:08:29 AM,85.5
11:08:29 AM,85.2
11:08:29 AM,86.6
11:08:29 AM,86.2
11:08:29 AM,86.7
11:08:29 AM,86.4
11:08:29 AM,85.9
11:08:29 AM,85.6
11:08:29 AM,85
11:08:29 AM,86.7
11:08:30 AM,86
11:08:30 AM,84.8
11:08:30 AM,85.5
11:08:30 AM,84.6
11:08:30 AM,85.5
11:08:30 AM,85.7
11:08:30 AM,85.7
11:08:30 AM,85.5
11:08:30 AM,85.4
11:08:30 AM,85.6
11:08:31 AM,85.2
11:08:31 AM,85.3
11:08:31 AM,85
11:08:31 AM,85.8
11:08:31 AM,85.8
11:08:31 AM,85.1
11:08:31 AM,85.4
11:08:31 AM,86.4
11:08:31 AM,85.1
11:08:31 AM,84.6
11:08:32 AM,85.5
11:08:32 AM,85
11:08:32 AM,84.8
11:08:32 AM,85.1
11:08:32 AM,86.1
11:08:32 AM,85.9
11:08:32 AM,85.7
11:08:32 AM,85.1
11:08:32 AM,85.8
11:08:32 AM,86
11:08:33 AM,85.3
11:08:33 AM,85.9
11:08:33 AM,86.4
11:08:33 AM,86.6
11:08:33 AM,86.6
11:08:33 AM,86.1
11:08:33 AM,84.6
11:08:33 AM,86.3
11:08:33 AM,85.9
11:08:33 AM,85.8
11:08:34 AM,85.8
11:08:34 AM,85.7
11:08:34 AM,86.1
11:08:34 AM,85
11:08:34 AM,85.4
11:08:34 AM,85.8
11:08:34 AM,85.1
11:08:34 AM,85.8
11:08:34 AM,85.4
11:08:34 AM,85
11:08:35 AM,84.7
11:08:35 AM,85
11:08:35 AM,85.8
11:08:35 AM,85.7
11:08:35 AM,85.4
11:08:35 AM,85.9
11:08:35 AM,86.5
11:08:35 AM,85.5
11:08:35 AM,85
11:08:35 AM,86.5
11:08:36 AM,84.8
11:08:36 AM,86.1
11:08:36 AM,85
11:08:36 AM,84.8
11:08:36 AM,85.9
11:08:36 AM,85.2
11:08:36 AM,85.1
11:08:36 AM,84.6
11:08:36 AM,85.3
11:08:36 AM,85.6
11:08:37 AM,84.8
11:08:37 AM,86.5
11:08:37 AM,86.3
11:08:37 AM,86.5
11:08:37 AM,85.6
11:08:37 AM,86.5
11:08:37 AM,86.1
11:08:37 AM,86.8
11:08:37 AM,85.5
11:08:37 AM,86.1
11:08:38 AM,86.4
11:08:38 AM,85.1
11:08:38 AM,85.1
11:08:38 AM,86.1
11:08:38 AM,85.4
11:08:38 AM,85.2
11:08:38 AM,84.5
11:08:38 AM,85.6
11:08:38 AM,86.3
11:08:38 AM,85.1
11:08:39 AM,85.8
11:08:39 AM,84.8
11:08:39 AM,85.7
11:08:39 AM,84.6
11:08:39 AM,85.1
11:08:39 AM,85.4
11:08:39 AM,84.7
11:08:39 AM,85.1
11:08:39 AM,85.4
11:08:39 AM,85.2
11:08:40 AM,85.2
11:08:40 AM,85.6
11:08:40 AM,85.9
11:08:40 AM,85.3
11:08:40 AM,85.1
11:08:40 AM,84.8
11:08:40 AM,85.9
11:08:40 AM,85.4
11:08:40 AM,85.2
11:08:40 AM,85.4
11:08:41 AM,85.5
11:08:41 AM,86.5
11:08:41 AM,85.8
11:08:41 AM,85.3
11:08:41 AM,85.6
11:08:41 AM,86.2
11:08:41 AM,85.5
11:08:41 AM,85.7
11:08:41 AM,86.8
11:08:41 AM,86.1
11:08:42 AM,86.2
11:08:42 AM,86.2
11:08:42 AM,85.7
11:08:42 AM,85.4
11:08:42 AM,85.8
11:08:42 AM,85.6
11:08:42 AM,86.1
11:08:42 AM,84.8
11:08:42 AM,84.8
11:08:42 AM,85.8
11:08:43 AM,84.3
11:08:43 AM,85.1
11:08:43 AM,86.3
11:08:43 AM,85.9
11:08:43 AM,85.1
11:08:43 AM,85.2
11:08:43 AM,85.5
11:08:43 AM,85.5
11:08:43 AM,84.6
11:08:43 AM,86.3
11:08:44 AM,86.5
11:08:44 AM,85.2
11:08:44 AM,85.1
11:08:44 AM,85.4
11:08:44 AM,84.5
11:08:44 AM,84.8
11:08:44 AM,84.6
11:08:44 AM,86.1
11:08:44 AM,83.4
11:08:44 AM,85.8
11:08:45 AM,85.3
11:08:45 AM,85.3
11:08:45 AM,84.8
11:08:45 AM,85.2
11:08:45 AM,85.9
11:08:45 AM,85.3
11:08:45 AM,85.8
11:08:45 AM,85.9
11:08:45 AM,85.1
11:08:45 AM,86.1
11:08:46 AM,85.7
11:08:46 AM,85.6
11:08:46 AM,86.1
11:08:46 AM,86
11:08:46 AM,85.2
11:08:46 AM,85.8
11:08:46 AM,85.2
11:08:46 AM,85.5
11:08:46 AM,85.9
11:08:46 AM,85.3
11:08:47 AM,85.4
11:08:47 AM,86.5
11:08:47 AM,85.1
11:08:47 AM,85.1
11:08:47 AM,84
11:08:47 AM,85.3
11:08:47 AM,85.6
11:08:47 AM,84.5
11:08:47 AM,85.4
11:08:47 AM,85.1
11:08:48 AM,84.6
11:08:48 AM,85.5
11:08:48 AM,85.3
11:08:48 AM,84.5
11:08:48 AM,84.2
11:08:48 AM,84.8
11:08:48 AM,85.6
11:08:48 AM,85.3
11:08:48 AM,84.8
11:08:48 AM,85.3
11:08:49 AM,86.3
11:08:49 AM,85.1
11:08:49 AM,85.7
11:08:49 AM,86.1
11:08:49 AM,85.8
11:08:49 AM,86
11:08:49 AM,85.6
11:08:49 AM,85.8
11:08:49 AM,85.7
