Time - Dev2/ai0,Temperature - Dev2/ai0
11:33:39 AM,83.3
11:33:39 AM,83.4
11:33:39 AM,83.2
11:33:39 AM,83.7
11:33:39 AM,83.7
11:33:39 AM,84.9
11:33:40 AM,83
11:33:40 AM,85
11:33:40 AM,84.4
11:33:40 AM,84.5
11:33:40 AM,84.4
11:33:40 AM,84.5
11:33:40 AM,84.5
11:33:40 AM,84.6
11:33:40 AM,84.4
11:33:40 AM,84.4
11:33:41 AM,84.2
11:33:41 AM,85.6
11:33:41 AM,84.1
11:33:41 AM,83.7
11:33:41 AM,84.1
11:33:41 AM,84.1
11:33:41 AM,83
11:33:41 AM,83.7
11:33:41 AM,83.7
11:33:41 AM,84.2
11:33:42 AM,83.9
11:33:42 AM,84.2
11:33:42 AM,84
11:33:42 AM,83.7
11:33:42 AM,83.5
11:33:42 AM,83.5
11:33:42 AM,83.5
11:33:42 AM,84.1
11:33:42 AM,85
11:33:42 AM,84.6
11:33:43 AM,84.4
11:33:43 AM,84.6
11:33:43 AM,84
11:33:43 AM,84.1
11:33:43 AM,84.1
11:33:43 AM,83.9
11:33:43 AM,83.9
11:33:43 AM,84
11:33:43 AM,84.4
11:33:43 AM,84.8
11:33:44 AM,83.9
11:33:44 AM,84.5
11:33:44 AM,84.9
11:33:44 AM,83.7
11:33:44 AM,84.5
11:33:44 AM,84
11:33:44 AM,84.7
11:33:44 AM,84.9
11:33:44 AM,84.4
11:33:44 AM,83.8
11:33:45 AM,84.8
11:33:45 AM,84.9
11:33:45 AM,84.1
11:33:45 AM,84.4
11:33:45 AM,83.2
11:33:45 AM,83.1
11:33:45 AM,84.6
11:33:45 AM,83.8
11:33:45 AM,84.1
11:33:45 AM,84
11:33:46 AM,83.7
11:33:46 AM,84.3
11:33:46 AM,83.7
11:33:46 AM,83.3
11:33:46 AM,84.1
11:33:46 AM,84.3
11:33:46 AM,83.7
11:33:46 AM,83.9
11:33:46 AM,84
11:33:46 AM,84.4
11:33:47 AM,84.4
11:33:47 AM,83.7
11:33:47 AM,84
11:33:47 AM,83.9
11:33:47 AM,83.9
11:33:47 AM,83.4
11:33:47 AM,83.6
11:33:47 AM,84
11:33:47 AM,83.7
11:33:47 AM,83.5
11:33:48 AM,84.3
11:33:48 AM,84.4
11:33:48 AM,84.4
11:33:48 AM,83.8
11:33:48 AM,84.8
11:33:48 AM,84.2
11:33:48 AM,85.8
11:33:48 AM,84.8
11:33:48 AM,84.8
11:33:48 AM,85.4
11:33:49 AM,84.6
11:33:49 AM,84.8
11:33:49 AM,83.9
11:33:49 AM,84.3
11:33:49 AM,83.5
11:33:49 AM,83.9
11:33:49 AM,84.4
11:33:49 AM,84.1
11:33:49 AM,83.8
11:33:49 AM,83.6
11:33:50 AM,84
11:33:50 AM,84.4
11:33:50 AM,83.9
11:33:50 AM,83.8
11:33:50 AM,84.2
11:33:50 AM,84
11:33:50 AM,83.5
11:33:50 AM,83.6
11:33:50 AM,84.2
11:33:50 AM,84.1
11:33:51 AM,83.3
11:33:51 AM,83.6
11:33:51 AM,83.4
11:33:51 AM,84
11:33:51 AM,83.2
11:33:51 AM,85.2
11:33:51 AM,84.4
11:33:51 AM,84.3
11:33:51 AM,84.4
11:33:51 AM,83.7
11:33:52 AM,85
11:33:52 AM,84.4
11:33:52 AM,84.7
11:33:52 AM,84.7
11:33:52 AM,85.3
11:33:52 AM,84.4
11:33:52 AM,85.2
11:33:52 AM,85.1
11:33:52 AM,84.8
11:33:52 AM,84.4
11:33:53 AM,84.9
11:33:53 AM,85.1
11:33:53 AM,84.8
11:33:53 AM,84
11:33:53 AM,84.5
11:33:53 AM,84.1
11:33:53 AM,84.3
11:33:53 AM,83.4
11:33:53 AM,84.1
11:33:53 AM,84.1
11:33:54 AM,83.1
11:33:54 AM,84.3
11:33:54 AM,84.2
11:33:54 AM,84.2
11:33:54 AM,84.7
11:33:54 AM,84.2
11:33:54 AM,84.4
11:33:54 AM,84
11:33:54 AM,84.1
11:33:54 AM,84.5
11:33:55 AM,84.2
11:33:55 AM,84.3
11:33:55 AM,83.6
11:33:55 AM,84.2
11:33:55 AM,84.1
11:33:55 AM,84.8
11:33:55 AM,84.2
11:33:55 AM,84.3
11:33:55 AM,85.1
11:33:55 AM,84.6
11:33:56 AM,83.4
11:33:56 AM,84.1
11:33:56 AM,84.2
11:33:56 AM,84.4
11:33:56 AM,84
11:33:56 AM,83.8
11:33:56 AM,84.4
11:33:56 AM,84.2
11:33:56 AM,84.5
11:33:56 AM,84.4
11:33:57 AM,84.7
11:33:57 AM,85.1
11:33:57 AM,85.1
11:33:57 AM,84.4
11:33:57 AM,84.2
11:33:57 AM,84.1
11:33:57 AM,84.9
11:33:57 AM,84.1
11:33:57 AM,84.2
11:33:57 AM,84.1
11:33:58 AM,84
11:33:58 AM,84
11:33:58 AM,84.8
11:33:58 AM,84.2
11:33:58 AM,84.3
11:33:58 AM,84.5
11:33:58 AM,83.7
11:33:58 AM,84.1
11:33:58 AM,84.6
11:33:58 AM,83.1
11:33:59 AM,84.8
11:33:59 AM,84.6
11:33:59 AM,84.1
11:33:59 AM,84.4
11:33:59 AM,84.4
11:33:59 AM,84.1
11:33:59 AM,83.5
11:33:59 AM,83.8
11:33:59 AM,84.5
11:33:59 AM,83
11:34:00 AM,85
11:34:00 AM,84.3
11:34:00 AM,84.2
11:34:00 AM,84.2
11:34:00 AM,84
11:34:00 AM,84.7
11:34:00 AM,84.4
11:34:00 AM,85
11:34:00 AM,85
11:34:00 AM,84.8
11:34:01 AM,85.1
11:34:01 AM,85
11:34:01 AM,85.1
11:34:01 AM,84.8
11:34:01 AM,84.4
11:34:01 AM,85.1
11:34:01 AM,85.1
11:34:01 AM,84.1
11:34:01 AM,84
11:34:01 AM,84.2
11:34:02 AM,85.3
11:34:02 AM,83.7
11:34:02 AM,84.2
11:34:02 AM,84.5
11:34:02 AM,84.8
11:34:02 AM,83.7
11:34:02 AM,84.4
11:34:02 AM,83.4
11:34:02 AM,83.7
11:34:02 AM,84.1
11:34:03 AM,84.2
11:34:03 AM,84.8
11:34:03 AM,84.9
11:34:03 AM,84.8
11:34:03 AM,84.5
11:34:03 AM,83.7
11:34:03 AM,84.4
11:34:03 AM,83.5
11:34:03 AM,84.7
11:34:03 AM,84.1
11:34:04 AM,84.9
11:34:04 AM,84.3
11:34:04 AM,83.6
11:34:04 AM,84.4
11:34:04 AM,84.1
11:34:04 AM,84
11:34:04 AM,84.4
11:34:04 AM,84
11:34:04 AM,84.3
11:34:04 AM,85.2
11:34:05 AM,85.2
11:34:05 AM,85.1
11:34:05 AM,85.9
11:34:05 AM,85
11:34:05 AM,84.3
11:34:05 AM,82.9
11:34:05 AM,83.4
11:34:05 AM,84.1
11:34:05 AM,84.1
11:34:05 AM,84.3
11:34:06 AM,84.8
11:34:06 AM,84.1
11:34:06 AM,84.2
11:34:06 AM,84.2
11:34:06 AM,83.6
11:34:06 AM,84.2
11:34:06 AM,84.4
11:34:06 AM,84.6
11:34:06 AM,85.1
11:34:06 AM,84.4
11:34:07 AM,84.1
11:34:07 AM,84.2
11:34:07 AM,83.8
11:34:07 AM,85.7
11:34:07 AM,85.1
11:34:07 AM,84
11:34:07 AM,84.3
11:34:07 AM,84.9
11:34:07 AM,85.1
11:34:07 AM,84.1
11:34:08 AM,84.3
11:34:08 AM,84.6
11:34:08 AM,84.5
11:34:08 AM,84.1
11:34:08 AM,84.7
11:34:08 AM,84.9
11:34:08 AM,84.8
11:34:08 AM,84.2
11:34:08 AM,84.6
11:34:08 AM,84.3
11:34:09 AM,84.8
11:34:09 AM,86.4
11:34:09 AM,85.1
11:34:09 AM,84.8
11:34:09 AM,84.9
11:34:09 AM,84.1
11:34:09 AM,84.8
11:34:09 AM,84.8
11:34:09 AM,84.8
11:34:09 AM,84.8
11:34:10 AM,84.8
11:34:10 AM,83.7
11:34:10 AM,84.9
11:34:10 AM,84.2
11:34:10 AM,84.3
11:34:10 AM,84.8
11:34:10 AM,84.3
11:34:10 AM,84.8
11:34:10 AM,84.5
11:34:10 AM,84.1
11:34:11 AM,85.1
11:34:11 AM,84.8
11:34:11 AM,84.2
11:34:11 AM,84.8
11:34:11 AM,84.8
11:34:11 AM,84.6
11:34:11 AM,84.6
11:34:11 AM,83.9
11:34:11 AM,83.6
11:34:11 AM,84.9
11:34:12 AM,84.7
11:34:12 AM,84.5
11:34:12 AM,83.7
11:34:12 AM,84.8
11:34:12 AM,84.1
11:34:12 AM,84.7
11:34:12 AM,84.4
11:34:12 AM,84.9
11:34:12 AM,84.1
11:34:12 AM,84.9
11:34:13 AM,84.7
11:34:13 AM,85.1
11:34:13 AM,85.3
11:34:13 AM,85.4
11:34:13 AM,85.1
11:34:13 AM,85
11:34:13 AM,85.4
11:34:13 AM,84.7
11:34:13 AM,84
11:34:13 AM,83.7
11:34:14 AM,83.4
11:34:14 AM,82.4
11:34:14 AM,83.7
11:34:14 AM,82.3
11:34:14 AM,82.4
11:34:14 AM,82.5
11:34:14 AM,81.8
11:34:14 AM,82.3
11:34:14 AM,81.8
11:34:14 AM,81.4
11:34:15 AM,81.7
11:34:15 AM,81.6
11:34:15 AM,79.7
11:34:15 AM,80.3
11:34:15 AM,79.4
11:34:15 AM,79.7
11:34:15 AM,79.1
11:34:15 AM,79.4
11:34:15 AM,78.5
11:34:15 AM,78.3
11:34:16 AM,78.4
11:34:16 AM,77.8
11:34:16 AM,77.6
11:34:16 AM,76.4
11:34:16 AM,77.1
11:34:16 AM,75.9
11:34:16 AM,75.9
11:34:16 AM,75.6
11:34:16 AM,74.9
11:34:16 AM,75.4
11:34:17 AM,75.2
11:34:17 AM,74.5
11:34:17 AM,74
11:34:17 AM,73.3
11:34:17 AM,73.4
11:34:17 AM,73.5
11:34:17 AM,72.8
11:34:17 AM,72.8
11:34:17 AM,72.5
11:34:17 AM,71.7
11:34:18 AM,71
11:34:18 AM,70.2
11:34:18 AM,70.2
11:34:18 AM,68.9
11:34:18 AM,69.4
11:34:18 AM,69.4
11:34:18 AM,69.1
11:34:18 AM,68
11:34:18 AM,68.1
11:34:18 AM,66.8
11:34:19 AM,67
11:34:19 AM,66.8
11:34:19 AM,65.9
11:34:19 AM,65.9
11:34:19 AM,65.6
11:34:19 AM,64.4
11:34:19 AM,64.3
11:34:19 AM,65.2
11:34:19 AM,63.9
11:34:19 AM,63.8
11:34:20 AM,63.2
11:34:20 AM,62.3
11:34:20 AM,62.3
11:34:20 AM,62.5
11:34:20 AM,63.3
11:34:20 AM,61.2
11:34:20 AM,61.5
11:34:20 AM,61.1
11:34:20 AM,60.5
11:34:20 AM,60.9
11:34:21 AM,60
11:34:21 AM,60
11:34:21 AM,60.3
11:34:21 AM,59.4
11:34:21 AM,59.6
11:34:21 AM,58.5
11:34:21 AM,58.4
11:34:21 AM,57.9
11:34:21 AM,57.6
11:34:21 AM,57.2
11:34:22 AM,56.7
11:34:22 AM,56.5
11:34:22 AM,55.2
11:34:22 AM,55.6
11:34:22 AM,54.9
11:34:22 AM,54.8
11:34:22 AM,54.4
11:34:22 AM,54.3
11:34:22 AM,54.3
11:34:22 AM,53.6
11:34:23 AM,53.8
11:34:23 AM,52.9
11:34:23 AM,52.5
11:34:23 AM,52.6
